movie_id,title,original_title,overview,release_date,popularity,vote_average,vote_count,genres,poster_path
1244361,ช.พ.๑ สมรภูมิคืนชีพ,ช.พ.๑ สมรภูมิคืนชีพ,พ.ศ. ๒๔๘๔ ทั่วโลกรวมถึงประเทศไทยกำลังระส่ำระส่ายจากการบุกรุกของทหารญี่ปุ่น ที่ตอนนี้มีเป้าหมายจะใช้จังหวัดชุมพรเป็นจุดยกพลขึ้นบก ทุกคนล้วนถูกเรียกรวมพล เพื่อไปต้านทานทหารญี่ปุ่น รวมถึง เมฆ (นนกุล) นายทหารหนุ่มผู้ซื่อสัตย์ และพร้อมเสียสละ เพื่อประเทศชาติ แต่กลับกัน หมอก (อวัช รัตนปิณฑะ) ผู้เป็นน้องชายของเมฆ ซึ่งอยู่ใน หน่วยยุวชนทหาร กลับคิดจะหนีทัพเพราะเขาไม่อยากเสี่ยงชีวิตเหมือนพี่ชาย ทำให้ทั้งคู่ ทะเลาะกันอย่างรุนแรง แต่สุดท้ายด้วยคำพูดของเมฆ ทำให้หมอกตัดสินใจจะไม่หนีไป และเข้าร่วมรบ แต่หลังจากนั้นไม่นาน กลุ่มยุวชนทหารของหมอกก็พบว่ากองทัพญี่ปุ่นได้นำ “บางสิ่ง” เข้ามาเป็นอาวุธในสนามรบ มันคือทหารญี่ปุ่นที่ไร้สติ ไล่ล่า กัดกินทุกชีวิตที่ได้พบเห็น ในที่สุดหมอกและกลุ่มยุวชนทหารก็ไม่อาจหนีรอดจากการไล่ล่า สงครามครั้งนี้ได้ เปลี่ยนพวกเขา ให้กลายเป็นสิ่งมีชีวิตกลายพันธ์ุบางอย่าง หมอกและกลุ่มยุวชนทหาร ต้องพยายามที่จะ ครองสติเอาไว้ให้ได้มากที่สุด ก่อนที่เขาจะสูญเสียตัวตนไปตลอดกาล,2024-08-01,33.638,3.4,9,"สยองขวัญ, บู๊, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/ymJgjrRyqJsNK67dqLv4kwvPatV.jpg
8982,ต้มยำกุ้ง,ต้มยำกุ้ง,"เรื่องราวของ ขาม (จา พนม ยีรัมย์) เด็กหนุ่มบ้านป่าที่ชีวิตต้องพลิกผันข้ามน้ำข้ามทะเลไปยังออสเตรเลียเพื่อช่วยพ่อใหญ่ และ ขอน ช้างพลายสองพ่อลูกที่ถูกลักพาไปขายในต่างแดน ด้วยความช่วยเหลือจาก จ่ามาร์ค (หม่ำ จ๊กมก) และ ปลา (ตั๊ก บงกช คงมาลัย) ทำให้พบเบาะแสที่ร้าน ""ต้มยำกุ้ง"" ที่เบื้องหลังคือธุรกิจค้าสัตว์ผิดกฎหมาย เมื่อชีวิตสัตว์มากมายต้องถูกพรากอย่างทารุณ กระตุ้นแรงโกรธแค้นของเขาให้ลุกโชนดั่งเปลวเพลิง ถึงเวลาที่เลือดเข้าตาต้องเดินหน้าสู้ตาย ด้วยวิถีการต่อสู้ที่ถูกฝังอยู่ในสายเลือด ""มวยคชสาร"" การต่อสู้มือเปล่าแบบโบราณ ที่จะกลายเป็นตำนานตราบเท่าปัจจุบัน!!",2005-08-11,34.219,7.1,855,"บู๊, อาชญากรรม, หนังชีวิต, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/6CHTuyaGmLzQHdHLawAxJdtOQax.jpg
16353,องค์บาก 2,องค์บาก 2,เทียน เด็กหนุ่มที่หวังเติบใหญ่เป็นนักรบผู้แกร่งกล้าเฉกเช่นบิดา ออกญาสีหเดโช นายทหารผู้ซื่อสัตย์ซึ่งจงรักภักดีต่อเหนือหัวผู้ซึ่งยอมได้ แม้กระทั่งสละชีวิตตนเอง เพื่อปกป้องผืนแผ่นดินจากเหล่าผู้ฉ้อฉล และคนทรยศแต่จากคำทำนายที่ว่าเมื่อใดที่เทียนซึ่งถือกำเนิดในฤกษ์พระกาฬเติบใหญ่ภายใต้วังวนแห่งคมดาบ และกลิ่นคาวเลือด เมื่อนั้นผู้คนจำนวนมากจักต้องล้มตายกันอย่างพร้อมเพรียง ทำให้ออกญาสีหเดโชตัดสินใจส่งเทียนไปให้ ครูบัว เพื่อนสนิทซึ่งต่างเป็นลูกศิษย์ของพระครูปั้นมาด้วยกันช่วยบ่มเพาะสมาธิ เรียนรู้การฝึกจิตให้นิ่ง และศึกษาในด้านวิชาโขนนาฏศิลป์ เพื่อหวังว่าสิ่งเหล่านี้จะช่วยจรรโลงจิตใจให้เกิดแต่สิ่งที่ดีงามขึ้น โดยมี พิม เด็กสาวที่ครูบัวเก็บมาเลี้ยงคอยให้ความช่วยเหลือ และมี ไอ้เหม็น ชายบ้าเสียสติ แต่หลงใหลในนาฏศิลป์ เป็นเพื่อนเล่น,2008-12-04,27.674,6.4,632,"ผจญ, บู๊, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/oNGz9bpkkbOMA8KugB1oRSwMr38.jpg
1290213,404 สุขีนิรันดร์..Run Run,404 สุขีนิรันดร์..Run Run,แก๊งย้อมแมว ขายบ้านมีประวัติ ที่คิดการใหญ่ อยากย้อมช้าง ขายโรงแรมผี เลยเจอดีถูกผีคุณหนูเจ้าของโรงแรมเช็คบิล ตั้งแต่เช็คอินจนหมดสิทธิ์เช็คเอาท์ ทางเดียวที่จะเอาชีวิตรอด คือ ต้อง RUN!,2024-11-28,27.357,5.0,2,"ตลก, สยองขวัญ",https://image.tmdb.org/t/p/w500/m6oLyY6vEWKjDp5AlYcycpivBNr.jpg
759923,พร้อมรุก ยัยตุ๊กตาซ้อมรัก,พร้อมรุก ยัยตุ๊กตาซ้อมรัก,"เรื่องราวชุลมุนวุ่นทั้งกายทั้งใจเกิดขึ้นเมื่อ ""อิฐ"" (ต้นน้ำ เปี่ยมชล) ได้รับพัสดุปริศนาที่ข้างในคือ ""แอนนา"" (มุก พิชานา) เซ็กส์ดอลล์ระบบเอไออัจฉริยะ อิฐต้องลองมีเซ็กส์กับแอนนาเพื่อทดสอบการใช้งาน ไม่เช่นนั้นเขาจะติดหนี้ 50 ล้านบาท จากการที่พ่อของเขากู้เงินมาร่วมลงทุนประดิษฐ์เซ็กส์ดอลล์ ทุกอย่างเหมือนจะเป็นไปด้วยดี แต่ติดอยู่ที่เขายังเป็นหนุ่มเวอร์จิ้นแถมยังเป็นโรคกลัวผู้หญิง! อิฐจะทำยังไงต่อไป? ในเมื่อเขาเป็นคนเดียวที่จะสามารถแตะต้องเธอได้",2020-10-30,33.938,7.45,20,"ตลก, หนังรักโรแมนติก",https://image.tmdb.org/t/p/w500/cyVyrXq5dRAtdF06iQhi2vkkyYE.jpg
1034337,ปฏิบัติการกู้หวย,ปฏิบัติการกู้หวย,คนแปลกหน้าดวงซวย 5 คนต้องหันมาร่วมมือกันหาทางชิงลอตเตอรี่รางวัลที่หนึ่งมูลค่าหลายล้านคืนมาจากเจ้าพ่อแก๊งมาเฟียสุดโหด,2022-11-16,24.079,6.7,26,"อาชญากรรม, ตลก",https://image.tmdb.org/t/p/w500/K4I5zUfVszl6vGpTfMo7ue8TgU.jpg
1285282,แสนสนั่น พันธุ์สั่นสู้,แสนสนั่น พันธุ์สั่นสู้,“แสนสนั่น พันธุ์สั่นสู้” เป็นการเล่าเรื่องราวของ ‘แสน’ นักมวยตกอับ ที่กำลังจะหมดอนาคตเพราะความหวังดีของเพื่อน จนวงการมวยหันหลังให้ เขาจึงกลับไปอยู่กับแม่ที่ต่างจังหวัด มีเรื่องราวเกิดขึ้นมากมายจนเห็นความตายมาเตือนสติ ทำให้หวนกลับมาตามหาครูมวยในตำนาน และในที่สุดเขาก็ได้สิ่งที่ฝัน แถมเมียอีกหนึ่งคน…,2025-01-09,25.033,0.0,0,ตลก,https://image.tmdb.org/t/p/w500/uv0r02j8XCY7OSf0hhlLBdfBvZF.jpg
110552,ต้มยำกุ้ง 2,ต้มยำกุ้ง 2,เมื่อสาเหตุการฆาตกรรมเสี่ยสุชาติเจ้าของปางช้างผู้กว้างขวาง คือการถูกกระแทกเข้าอย่างจังในจุดตาย 3 แห่งโดยผู้เชี่ยวชาญด้านการต่อสู้ หลักฐานทั้งหมดบ่งชี้มัดตัว ไอ้ขาม เนื่องจากเขาเป็นคนสุดท้ายที่ถูกพบอยู่ในที่เกิดเหตุกับผู้ตาย เขาจึงต้องหลบหนีจากการจับกุมและการตามล่าเพื่อทวงแค้นจากหลานสาวฝาแฝดของเสี่ยสุชาติ แต่โชคยังเข้าข้างเมื่อระหว่างการหลบหนี ขามได้รับการช่วยเหลือจากจ่ามาร์ค  ตำรวจสากลที่ถูกส่งมาจากซิดนีย์เพื่อจัดการภารกิจบางอย่าง ขามหนีการตามล่า พร้อมกับการตามหา ขอน ช้างตัวเดียวที่เป็นเสมือนทั้งเพื่อนและพี่น้อง ที่ถูกขโมยไปเมื่อหลายวันก่อน ยิ่งหนี ขาม ก็ยิ่งต้องเข้าไปพัวพันกับองค์กรลึกลับที่ถูกควบคุมโดย แอล ซี  นายใหญ่ผู้คลั่งไคล้การสะสมนักสู้จากทั่วโลกอย่างลับ ๆ ทำให้เหล่านักสู้ที่ถูกตีตราด้วยตัวเลข ไม่ว่าจะเป็น ทเวนตี้ หรือ Number 2  ล้วนแต่มีเป้าหมายอยู่ที่การจัดการ ไอ้ขาม เพื่อวัตถุประสงค์บางอย่างของนายใหญ่,2013-10-23,21.845,6.123,269,บู๊,https://image.tmdb.org/t/p/w500/g6Tluly3l6O2n1PtlwT0D7tIE7u.jpg
40127,คนเล่นของ,คนเล่นของ,ประธาน (ตฤณ เศรษฐโชค) ได้มีสัมพันธ์รักกับบุ๋ม (ศุภักษร ไชยมงคล) ทั้ง ๆ ที่มีครอบครัวอยู่แล้ว จากนั้นไม่นานเธอก็ท้อง แต่ประธานไม่รับผิดชอบ ด้วยความแค้น บุ๋มจึงไปหาหมอทำคุณไสย ในที่สุดทุกคนก็ตายสมใจบุ๋ม ลูกในท้องของเธอจึงมีสิทธิในมรดกของประธาน แต่แล้วหล่อนก็ถูกรถชนเข้าอย่างจัง กลายเป็นว่ากมลา (กรองทอง รัชตะวรรณ) เมียน้อยอีกคนหนึ่งของประธาน พร้อมกับลูก ๆ ของหล่อน ได้รับมรดกทั้งหมดไป บุ๋มกลับเข้ามาสู่กองมรดกของประธานอีกครั้ง ในฐานะลูกสะใภ้ของกมลา โดยที่ทุกคนไม่รู้เลยว่า บุ๋มกำลังตามมาทวงสิทธิของตนในมรดกประธานคืน,2004-06-17,22.519,6.372,98,"สยองขวัญ, ลึกลับ",https://image.tmdb.org/t/p/w500/7ejh1s36AI19T9LvB3jtqXbUP9b.jpg
949701,แสงกระสือ 2,แสงกระสือ 2,เรื่องราวความรักต่างสายพันธุ์ระหว่าง “คน” และ “กระสือ” กำลังจะเริ่มต้นอีกครั้ง หลังโศกนาฏกรรม “กระสือสายบ้านโคกอีนวล” ผ่านไป 30 ปี “น้อย” (แสดงโดย น้อย-กฤษดา แคลปป์) เลี้ยงดู “สาว” (นิ้ง-ชัญญา แม็คคลอรีย์) ลูกสาวที่ได้รับเชื้อกระสือ ทำให้ น้อยและ “บาทหลวงออกัสติน” (โจ คัมมิงส์) ร่วมคิดค้นตัวยาที่สกัดจาก “ว่านกระสือ” เพื่อใช้ในการรักษา สาวได้พบกับ “คล้าว” หรือ “คลาว” โดยบังเอิญ (เจเจ-กฤษณภูมิ พิบูลสงคราม) บุตรบุญธรรมของบาทหลวงออกัสติน ที่มีความผิดปกติทางร่างกายแต่กำเนิด ความรักของสาวและคล้าวค่อย ๆ ผลิบานพอ ๆ กับเชื้อร้ายในตัวของสาวที่เริ่มออกอาการมากขึ้นทุกวัน นักลงทุนชาวต่างชาติที่ต้องการตัว “กระสือสาว” “พันธุ์” (ปีเตอร์-นพชัย ชัยนาม) อดีตทหารรับจ้างจึงถูกจ้างมาเพื่อ “ไล่ล่า” สาวจะรอดพ้นเงื้อมมือของพันธุ์ได้หรือไม่ ร่วมเอาใจช่วยเขาและเธอได้ใน “แสงกระสือ2”,2023-03-30,22.033,6.9,40,"หนังรักโรแมนติก, สยองขวัญ, หนังชีวิต",https://image.tmdb.org/t/p/w500/mkKEP3eK21xh3eq4O3mjRoxSX0b.jpg
151512,จันดารา ปฐมบท,จันดารา ปฐมบท,จัน ดารา เป็นภาพยนตร์ไทย ดัดแปลงจาก นิยายเรื่อง 'เรื่องของจัน ดารา' ซึ่ง อุษณา เพลิงธรรม เขียนลงพิมพ์ เป็นตอนๆ ในหนังสือพิมพ์ ตั้งแต่ปี 2507 ถึงปี 2509 มีหม่อมหลวง พันธุ์เทวนพ เทวกุล เป็นผู้เขียนบท และกำกับ และสหมงคลฟิล์ม สร้างเป็นทวิภาค ต่อเนื่องกัน คือ จัน ดารา ปฐมบท เผยแพร่ ตั้งแต่ วันที่ 6 กันยายน 2555[1] และ จัน ดารา ปัจฉิมบท เผยแพร่ ในปี 2556 มีเนื้อหา ทำนองนาฎกรรม เชิงสังวาส ว่าด้วย ความสัมพันธ์ ของครอบครัวหนึ่ง ทั้งที่เป็น ความรักฉันญาติ ความรักฉันชู้สาว และความเคียดแค้น ชิงชัง ชนิดที่ตัวละคร แต่ละตัวล้วน เป็นกระจกสะท้อน พฤติกรรม ของกันและกัน,2012-09-06,25.196,6.0,35,"หนังชีวิต, หนังรักโรแมนติก",https://image.tmdb.org/t/p/w500/c9gLbsR4RzLPscyFCVQHWboQiuK.jpg
709716,บึงกาฬ,บึงกาฬ,"หมู่บ้านแห่งหนึ่งเผชิญหน้ากับสัตว์ประหลาดลึกลับจากทะเลสาบ คนในหมู่บ้านจึงต้องร่วมมือร่วมใจปกป้องบ้านเกิด กระทั่งพวกเขาค้นพบว่าความเลวร้ายไม่ได้มีเพียงแค่สัตว์สยอง The Lake บึงกาฬ ผลงานระทึกจากฝีมือผู้กำกับ 'ลี ทองคำ' (The Maid สาวลับใช้) คนจังหวัดบึงกาฬที่อยากทำหนังสะท้อนปัญหาสิ่งแวดล้อมในบ้านเกิด กระทั่งพัฒนาเป็นหนังสัตว์ประหลาด ""สัตว์ประหลาดเหมือนเป็นสัญลักษณ์แทนขยะ ที่จะทำให้คนรู้สึกกลัว"" ลี กล่าว 'จอร์ดู เชลล์' นักออกแบบจากหนังดัง Avatar (2009) และ Cloverfield (2008) รับหน้าที่ออกแบบสิ่งมีชีวิตชวนสยอง ซึ่งผสมผสานทั้งปลาดุก จระเข้ และงูเข้าไว้ด้วยกัน หนังนำแสดงโดย 'สุชาร์ มานะยิ่ง' (The Couple รัก ลวง หลอน) , 'วิทยา ปานศรีงาม' (Only God Forgives) , 'ธีรภัทร์ สัจจกุล' (แฟนเดย์..แฟนกันแค่วันเดียว) , และ 'สุพรรณษา เวชกามา' aka 'ลำไย ไหทองคำ'",2022-08-18,19.343,5.8,81,"สยองขวัญ, นิยายวิทยาศาสตร์, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/y7iEPyRAvHMQstKfv4Udua4Q5gz.jpg
1226170,เทอม 3,เทอม 3,วิญญาณอาฆาต ศาลเจ้าที่พิศวง ตลอดจนภยันตรายที่คืบคลานอย่างเงียบเชียบ เขย่าขวัญนักศึกษาที่มาพัวพันกับสิ่งเหนือธรรมชาติโดยไม่เฉลียวใจ ในภาพยนตร์รวมเรื่องสั้นสยองขวัญชุดนี้,2024-05-30,20.186,5.3,3,"สยองขวัญ, ตลก",https://image.tmdb.org/t/p/w500/wrgcEz7En3yqe2ZvNQV5zKR3uuI.jpg
1247019,ธี่หยด 2,ธี่หยด 2,3 ปีหลังการตายของแย้ม ยักษ์ยังคงตามล่าผีชุดดําที่คร่าชีวิตน้องสาวเขาไปอย่างไม่ลดละ แม้คนในครอบครัวจะพยายามเกลี้ยกล่อมให้ยักษ์เลิกตามแก้แค้นผีชุดดําเพียงใด แต่ยักษ์ยังคงดื้อดึงที่จะตามล่ามันให้ได้ ด้วยกลัวว่าผีชุดดำจะกลับมาจัดการกับคนในครอบครัวที่เหลือของเขา,2024-10-10,19.614,8.3,6,"สยองขวัญ, ระทึกขวัญ, บู๊",https://image.tmdb.org/t/p/w500/xPTyukOmTrJDwGPwHYwxEMieaqk.jpg
1072589,สลิธ โปรเจกต์ล่า,สลิธ โปรเจกต์ล่า,เมื่อไฟบรรลัยกัลป์ล้างโลกจนไม่อาจอยู่อาศัยได้ เพื่อนกลุ่มหนึ่งได้พบกับสิ่งมีชีวิตเลื้อยคลานสุดพิสดารที่อาจเป็นกุญแจสำคัญในการอยู่รอดของมนุษยชาติ,2023-12-05,16.36,6.0,11,"บู๊, นิยายวิทยาศาสตร์, ระทึกขวัญ, หนังรักโรแมนติก",https://image.tmdb.org/t/p/w500/1RiXNc13wsAPVhZUElluC56dU41.jpg
43209,องค์บาก 3,องค์บาก 3,การฟื้นคืนชีวิตอีกครั้งของเทียน หลังจากสูญเสียเพลงยุทธ์ และผู้คนอันเป็นที่รักแห่งผาปีกครุฑไปจนหมดสิ้นจากการกวาดล้างของจอม ราชันย์ โดยได้รับความช่วยเหลือจากพิม  และพลังศรัทธาอันแรงกล้าที่หลอมรวมจากจิตอันบริสุทธิ์ของไอ้เหม็น และชาวหมู่บ้านคณะโขน ทำให้เทียนได้สัมผัสด้านสว่างแห่งจิตใจโดยมีพระบัว คอยชี้แนะจนก่อเกิด “นาฏยุทธ์” ภายใต้สภาวะแห่งจิตอันสงบนิ่ง แต่ขณะเดียวกันต้องเผชิญหน้ากับเหล่านักฆ่า ที่ล้วนแล้วแต่ยากในการต่อกรของจอมราชันย์ โดยเฉพาะอย่างยิ่งศัตรูที่น่าเกรงขามที่สุดของเทียน อย่าง ภูติ สางกา,2010-05-05,18.321,5.983,434,"บู๊, ผจญ, ประวัติศาสตร์",https://image.tmdb.org/t/p/w500/iEpzOcEL24Eojieyo4QrKvKwjuv.jpg
